"","Terms","Count","Probability"
"1","the santelena hotel venice italy",11,0.044
"2","at the end of the",5,0.02
"3","i cant think of one",3,0.012
"4","i thought it would be",3,0.012
"5","is going to be a",3,0.012
"6","the good news is that",3,0.012
"7","a critique of your synopsis",2,0.008
"8","a residence was broken into",2,0.008
"9","a trip down memory lane",2,0.008
"10","and hover to grab them",2,0.008
"11","as i thought it would",2,0.008
"12","at the beginning of the",2,0.008
"13","at the ncaa track field",2,0.008
"14","been in control of the",2,0.008
"15","best city in the world",2,0.008
"16","box from barnes and nobles",2,0.008
"17","by the end of the",2,0.008
"18","cake cake cake cake cake",2,0.008
"19","calories g protein g carbohydrate",2,0.008
"20","carbohydrate g g saturated mg",2,0.008
"21","cell phone absolutely free of",2,0.008
"22","could go on and on",2,0.008
"23","dinner only workshop only for",2,0.008
"24","dinnerworkshop dinner only workshop only",2,0.008
"25","doesn t complain when i",2,0.008
"26","dont even know what to",2,0.008
"27","dont know what to do",2,0.008
"28","even know what to say",2,0.008
"29","for more than a year",2,0.008
"30","for the first time the",2,0.008
"31","for those people who need",2,0.008
"32","from nd to th streets",2,0.008
"33","g carbohydrate g g saturated",2,0.008
"34","g g saturated mg cholesterol",2,0.008
"35","g protein g carbohydrate g",2,0.008
"36","g saturated mg cholesterol mg",2,0.008
"37","get to go back to",2,0.008
"38","go on and on about",2,0.008
"39","great way to end the",2,0.008
"40","hover to grab them her",2,0.008
"41","i am a fan of",2,0.008
"42","i am glad that i",2,0.008
"43","i cant even tell you",2,0.008
"44","i didn t want to",2,0.008
"45","i don t trust t",2,0.008
"46","i dont even know what",2,0.008
"47","i dont know if i",2,0.008
"48","i dont know what to",2,0.008
"49","i wanna dance with somebody",2,0.008
"50","i was a little disappointed",2,0.008
"51","i was going to get",2,0.008
"52","i will not be sick",2,0.008
"53","i wouldn t be a",2,0.008
"54","in a couple of weeks",2,0.008
"55","in a small saucepan bring",2,0.008
"56","in control of the match",2,0.008
"57","in the death of a",2,0.008
"58","is a great way to",2,0.008
"59","is a link to their",2,0.008
"60","is one of the most",2,0.008
"61","is the santelena hotel venice",2,0.008
"62","make it a crime to",2,0.008
"63","means a lot to me",2,0.008
"64","minority view does not matter",2,0.008
"65","not worth it in the",2,0.008
"66","of them were due to",2,0.008
"67","on a couch next to",2,0.008
"68","once they started picking winners",2,0.008
"69","one of my favorite things",2,0.008
"70","one of the best things",2,0.008
"71","party was held on the",2,0.008
"72","people will forget what you",2,0.008
"73","per serving calories g protein",2,0.008
"74","president and chief executive officer",2,0.008
"75","protein g carbohydrate g g",2,0.008
"76","said in a statement that",2,0.008
"77","said the same thing to",2,0.008
"78","santelena hotel venice italy and",2,0.008
"79","santelena hotel venice italy of",2,0.008
"80","saturated mg cholesterol mg sodium",2,0.008
"81","serving calories g protein g",2,0.008
"82","sitting on a couch next",2,0.008
"83","so on and so forth",2,0.008
"84","song of ice and fire",2,0.008
"85","started picking winners and losers",2,0.008
"86","talk about the impossible past",2,0.008
"87","tell them it is still",2,0.008
"88","the babies i lost in",2,0.008
"89","the best city in the",2,0.008
"90","the closer we come to",2,0.008
"91","the end of the day",2,0.008
"92","the minority view does not",2,0.008
"93","the ncaa track field championships",2,0.008
"94","the pinal county sheriffs office",2,0.008
"95","the pros and cons of",2,0.008
"96","the same thing to the",2,0.008
"97","the womens title at the",2,0.008
"98","them and hover to grab",2,0.008
"99","them it is still about",2,0.008
"100","there are a lot of",2,0.008
"101","they pay for in taxes",2,0.008
"102","they started picking winners and",2,0.008
"103","this is a link to",2,0.008
"104","this is going to be",2,0.008
"105","those who think the oscars",2,0.008
"106","title at the ncaa track",2,0.008
"107","to call for a byelection",2,0.008
"108","to grab them her before",2,0.008
"109","to talk about the impossible",2,0.008
"110","video with a message is",2,0.008
"111","was going to get it",2,0.008
"112","what the majority wants count",2,0.008
"113","when they are trying to",2,0.008
"114","who think the oscars telecast",2,0.008
"115","womens title at the ncaa",2,0.008
"116","you dont want to read",2,0.008
"117","you tell them it is",2,0.008
