"","Terms","Count","Probability"
"1","santelena hotel venice italy",11,0.0102325581395349
"2","the end of the",11,0.0102325581395349
"3","the santelena hotel venice",11,0.0102325581395349
"4","at the end of",8,0.00744186046511628
"5","is one of the",8,0.00744186046511628
"6","for the first time",7,0.00651162790697674
"7","in the middle of",6,0.00558139534883721
"8","is going to be",6,0.00558139534883721
"9","to be able to",5,0.00465116279069767
"10","a bit of a",4,0.00372093023255814
"11","going to be a",4,0.00372093023255814
"12","i dont want to",4,0.00372093023255814
"13","i thought it would",4,0.00372093023255814
"14","i was able to",4,0.00372093023255814
"15","in the block of",4,0.00372093023255814
"16","in the death of",4,0.00372093023255814
"17","in the fourth quarter",4,0.00372093023255814
"18","it will be a",4,0.00372093023255814
"19","one of the best",4,0.00372093023255814
"20","the beginning of the",4,0.00372093023255814
"21","the rest of the",4,0.00372093023255814
"22","thought it would be",4,0.00372093023255814
"23","to come up with",4,0.00372093023255814
"24","a few years ago",3,0.0027906976744186
"25","a great way to",3,0.0027906976744186
"26","as soon as i",3,0.0027906976744186
"27","at the beginning of",3,0.0027906976744186
"28","at the same time",3,0.0027906976744186
"29","box from barnes and",3,0.0027906976744186
"30","cake cake cake cake",3,0.0027906976744186
"31","cant think of one",3,0.0027906976744186
"32","cant wait to see",3,0.0027906976744186
"33","don t feel like",3,0.0027906976744186
"34","dont know what to",3,0.0027906976744186
"35","for more than a",3,0.0027906976744186
"36","for the sake of",3,0.0027906976744186
"37","go on and on",3,0.0027906976744186
"38","going to get it",3,0.0027906976744186
"39","good news is that",3,0.0027906976744186
"40","had a lot of",3,0.0027906976744186
"41","has a lot of",3,0.0027906976744186
"42","hundreds of thousands of",3,0.0027906976744186
"43","i cant think of",3,0.0027906976744186
"44","i cant wait to",3,0.0027906976744186
"45","i don t feel",3,0.0027906976744186
"46","i have to say",3,0.0027906976744186
"47","i just want to",3,0.0027906976744186
"48","i m going to",3,0.0027906976744186
"49","i thought it was",3,0.0027906976744186
"50","i was going to",3,0.0027906976744186
"51","if you want to",3,0.0027906976744186
"52","in addition to the",3,0.0027906976744186
"53","in the us and",3,0.0027906976744186
"54","one of my favorite",3,0.0027906976744186
"55","one of the most",3,0.0027906976744186
"56","said in a statement",3,0.0027906976744186
"57","thanks for the follow",3,0.0027906976744186
"58","the death of a",3,0.0027906976744186
"59","the good news is",3,0.0027906976744186
"60","the only way to",3,0.0027906976744186
"61","the wall street journal",3,0.0027906976744186
"62","to go back to",3,0.0027906976744186
"63","to share with you",3,0.0027906976744186
"64","was more of a",3,0.0027906976744186
"65","when it comes to",3,0.0027906976744186
"66","will be able to",3,0.0027906976744186
"67","with a lot of",3,0.0027906976744186
"68","a bunch of us",2,0.00186046511627907
"69","a couch next to",2,0.00186046511627907
"70","a couple of days",2,0.00186046511627907
"71","a couple of weeks",2,0.00186046511627907
"72","a critique of your",2,0.00186046511627907
"73","a dram shop notice",2,0.00186046511627907
"74","a federal appeals court",2,0.00186046511627907
"75","a few weeks later",2,0.00186046511627907
"76","a link to their",2,0.00186046511627907
"77","a long list of",2,0.00186046511627907
"78","a long way to",2,0.00186046511627907
"79","a look at the",2,0.00186046511627907
"80","a lot of people",2,0.00186046511627907
"81","a lot of the",2,0.00186046511627907
"82","a lot of time",2,0.00186046511627907
"83","a lot to me",2,0.00186046511627907
"84","a residence was broken",2,0.00186046511627907
"85","a short list of",2,0.00186046511627907
"86","a small saucepan bring",2,0.00186046511627907
"87","a team that will",2,0.00186046511627907
"88","a trip down memory",2,0.00186046511627907
"89","about the impossible past",2,0.00186046511627907
"90","all of this and",2,0.00186046511627907
"91","all of your posts",2,0.00186046511627907
"92","all the way i",2,0.00186046511627907
"93","always sunshine and butterflies",2,0.00186046511627907
"94","am a fan of",2,0.00186046511627907
"95","am glad that i",2,0.00186046511627907
"96","amount of time i",2,0.00186046511627907
"97","an edible arrangement for",2,0.00186046511627907
"98","and a bunch of",2,0.00186046511627907
"99","and a half stars",2,0.00186046511627907
"100","and as a general",2,0.00186046511627907
"101","and chief executive officer",2,0.00186046511627907
"102","and for some reason",2,0.00186046511627907
"103","and hover to grab",2,0.00186046511627907
"104","and i dont know",2,0.00186046511627907
"105","and i had a",2,0.00186046511627907
"106","and it s not",2,0.00186046511627907
"107","and make it a",2,0.00186046511627907
"108","and no i am",2,0.00186046511627907
"109","and once they are",2,0.00186046511627907
"110","and sign up for",2,0.00186046511627907
"111","and that was the",2,0.00186046511627907
"112","and wait for the",2,0.00186046511627907
"113","and yes i did",2,0.00186046511627907
"114","are a lot of",2,0.00186046511627907
"115","are on their way",2,0.00186046511627907
"116","as am i he",2,0.00186046511627907
"117","as being a good",2,0.00186046511627907
"118","as i thought it",2,0.00186046511627907
"119","as of last week",2,0.00186046511627907
"120","as part of the",2,0.00186046511627907
"121","as they used to",2,0.00186046511627907
"122","as to why i",2,0.00186046511627907
"123","as well as a",2,0.00186046511627907
"124","as well as my",2,0.00186046511627907
"125","at the moment this",2,0.00186046511627907
"126","at the ncaa track",2,0.00186046511627907
"127","at the time of",2,0.00186046511627907
"128","at the university of",2,0.00186046511627907
"129","babies i lost in",2,0.00186046511627907
"130","back on the field",2,0.00186046511627907
"131","be found in christ",2,0.00186046511627907
"132","be sure to stop",2,0.00186046511627907
"133","because there s a",2,0.00186046511627907
"134","because they were not",2,0.00186046511627907
