"","Terms","Count","Probability"
"1","a lot of",33,0.00479233226837061
"2","one of the",33,0.00479233226837061
"3","as well as",21,0.00304966598896311
"4","going to be",17,0.00246877722916062
"5","the end of",17,0.00246877722916062
"6","end of the",14,0.00203311065930874
"7","out of the",14,0.00203311065930874
"8","this is the",14,0.00203311065930874
"9","be able to",13,0.00188788846935812
"10","i don t",13,0.00188788846935812
"11","a couple of",12,0.00174266627940749
"12","this is a",12,0.00174266627940749
"13","to be a",12,0.00174266627940749
"14","according to the",11,0.00159744408945687
"15","hotel venice italy",11,0.00159744408945687
"16","i have been",11,0.00159744408945687
"17","i have to",11,0.00159744408945687
"18","is going to",11,0.00159744408945687
"19","is one of",11,0.00159744408945687
"20","one of my",11,0.00159744408945687
"21","santelena hotel venice",11,0.00159744408945687
"22","the first time",11,0.00159744408945687
"23","the santelena hotel",11,0.00159744408945687
"24","to go to",11,0.00159744408945687
"25","a bit of",10,0.00145222189950624
"26","back to the",10,0.00145222189950624
"27","i dont know",10,0.00145222189950624
"28","looking forward to",10,0.00145222189950624
"29","some of the",10,0.00145222189950624
"30","the beginning of",10,0.00145222189950624
"31","there is a",10,0.00145222189950624
"32","at the end",9,0.00130699970955562
"33","cant wait to",9,0.00130699970955562
"34","for the first",9,0.00130699970955562
"35","i had to",9,0.00130699970955562
"36","in front of",9,0.00130699970955562
"37","in the world",9,0.00130699970955562
"38","it was a",9,0.00130699970955562
"39","thank you for",9,0.00130699970955562
"40","you have to",9,0.00130699970955562
"41","at least one",8,0.001161777519605
"42","i have a",8,0.001161777519605
"43","i know i",8,0.001161777519605
"44","i thought it",8,0.001161777519605
"45","if you are",8,0.001161777519605
"46","if you have",8,0.001161777519605
"47","in the middle",8,0.001161777519605
"48","in the second",8,0.001161777519605
"49","in the us",8,0.001161777519605
"50","it is a",8,0.001161777519605
"51","it would be",8,0.001161777519605
"52","most of the",8,0.001161777519605
"53","to have a",8,0.001161777519605
"54","to make a",8,0.001161777519605
"55","will be a",8,0.001161777519605
"56","dont want to",7,0.00101655532965437
"57","i didn t",7,0.00101655532965437
"58","i feel like",7,0.00101655532965437
"59","i m not",7,0.00101655532965437
"60","if you want",7,0.00101655532965437
"61","in new york",7,0.00101655532965437
"62","said in a",7,0.00101655532965437
"63","thanks for the",7,0.00101655532965437
"64","the death of",7,0.00101655532965437
"65","the university of",7,0.00101655532965437
"66","to make the",7,0.00101655532965437
"67","to see the",7,0.00101655532965437
"68","to take a",7,0.00101655532965437
"69","was going to",7,0.00101655532965437
"70","we have a",7,0.00101655532965437
"71","a piece of",6,0.000871333139703747
"72","all of the",6,0.000871333139703747
"73","all the way",6,0.000871333139703747
"74","and a half",6,0.000871333139703747
"75","and i think",6,0.000871333139703747
"76","as soon as",6,0.000871333139703747
"77","at the time",6,0.000871333139703747
"78","come up with",6,0.000871333139703747
"79","don t feel",6,0.000871333139703747
"80","i can t",6,0.000871333139703747
"81","i cant wait",6,0.000871333139703747
"82","i had a",6,0.000871333139703747
"83","im going to",6,0.000871333139703747
"84","in order to",6,0.000871333139703747
"85","in terms of",6,0.000871333139703747
"86","it s not",6,0.000871333139703747
"87","it will be",6,0.000871333139703747
"88","members of the",6,0.000871333139703747
"89","more of a",6,0.000871333139703747
"90","more than a",6,0.000871333139703747
"91","of the best",6,0.000871333139703747
"92","of the city",6,0.000871333139703747
"93","part of the",6,0.000871333139703747
"94","that was the",6,0.000871333139703747
"95","the middle of",6,0.000871333139703747
"96","the rest of",6,0.000871333139703747
"97","thought it would",6,0.000871333139703747
"98","to be the",6,0.000871333139703747
"99","to talk about",6,0.000871333139703747
"100","want to see",6,0.000871333139703747
"101","was able to",6,0.000871333139703747
"102","was in the",6,0.000871333139703747
"103","what to do",6,0.000871333139703747
"104","would like to",6,0.000871333139703747
"105","you want to",6,0.000871333139703747
"106","a bunch of",5,0.000726110949753122
"107","a few years",5,0.000726110949753122
"108","a little bit",5,0.000726110949753122
"109","and as a",5,0.000726110949753122
"110","and i had",5,0.000726110949753122
"111","and it s",5,0.000726110949753122
"112","and they are",5,0.000726110949753122
"113","and you have",5,0.000726110949753122
"114","any of the",5,0.000726110949753122
"115","as much as",5,0.000726110949753122
"116","as part of",5,0.000726110949753122
"117","back in the",5,0.000726110949753122
"118","don t know",5,0.000726110949753122
"119","for the past",5,0.000726110949753122
"120","have to be",5,0.000726110949753122
"121","he said the",5,0.000726110949753122
"122","i am a",5,0.000726110949753122
"123","i decided to",5,0.000726110949753122
"124","i dont want",5,0.000726110949753122
"125","i know that",5,0.000726110949753122
"126","i m sure",5,0.000726110949753122
"127","i need to",5,0.000726110949753122
"128","i should have",5,0.000726110949753122
"129","i ve been",5,0.000726110949753122
"130","i want to",5,0.000726110949753122
"131","i wouldn t",5,0.000726110949753122
"132","in los angeles",5,0.000726110949753122
"133","in the death",5,0.000726110949753122
"134","in the fourth",5,0.000726110949753122
"135","in the last",5,0.000726110949753122
"136","in the same",5,0.000726110949753122
"137","it has been",5,0.000726110949753122
"138","know what to",5,0.000726110949753122
"139","means a lot",5,0.000726110949753122
"140","of the day",5,0.000726110949753122
"141","of the season",5,0.000726110949753122
"142","of the year",5,0.000726110949753122
"143","on and on",5,0.000726110949753122
"144","out of my",5,0.000726110949753122
"145","so much fun",5,0.000726110949753122
"146","the block of",5,0.000726110949753122
"147","the city of",5,0.000726110949753122
"148","the idea that",5,0.000726110949753122
"149","the most important",5,0.000726110949753122
"150","the next day",5,0.000726110949753122
"151","the use of",5,0.000726110949753122
"152","there is no",5,0.000726110949753122
"153","to be able",5,0.000726110949753122
"154","to do so",5,0.000726110949753122
"155","to figure out",5,0.000726110949753122
"156","to have to",5,0.000726110949753122
"157","to keep the",5,0.000726110949753122
"158","to the new",5,0.000726110949753122
"159","to try to",5,0.000726110949753122
"160","trying to get",5,0.000726110949753122
"161","when i was",5,0.000726110949753122
"162","when it comes",5,0.000726110949753122
"163","wish i could",5,0.000726110949753122
"164","you have a",5,0.000726110949753122
"165","a fan of",4,0.000580888759802498
"166","a few things",4,0.000580888759802498
"167","a few weeks",4,0.000580888759802498
"168","a group of",4,0.000580888759802498
"169","a way to",4,0.000580888759802498
"170","all of this",4,0.000580888759802498
"171","all the other",4,0.000580888759802498
"172","and i m",4,0.000580888759802498
"173","and i was",4,0.000580888759802498
"174","and if you",4,0.000580888759802498
"175","and it was",4,0.000580888759802498
"176","and the city",4,0.000580888759802498
"177","at least two",4,0.000580888759802498
"178","at st louis",4,0.000580888759802498
"179","at the moment",4,0.000580888759802498
"180","be found in",4,0.000580888759802498
"181","be in the",4,0.000580888759802498
"182","be sure to",4,0.000580888759802498
"183","because of the",4,0.000580888759802498
"184","beginning of the",4,0.000580888759802498
"185","bit of a",4,0.000580888759802498
