"","terms","count","probability"
"1","the",4358,0.072102180602892
"2","and",2308,0.0381853677906092
"3","that",945,0.0156348234671255
"4","for",892,0.0147579497700275
"5","with",649,0.0107375665927666
"6","you",603,0.00997650640283247
"7","was",574,0.0094967075874392
"8","this",499,0.00825584858211178
"9","have",458,0.00757751232586612
"10","are",440,0.00727970616458754
"11","but",425,0.00703153436352205
"12","not",361,0.00597266801230932
"13","from",357,0.00590648886535853
"14","they",309,0.00511233910194898
"15","said",302,0.00499652559478508
"16","all",277,0.00458290592634261
"17","one",277,0.00458290592634261
"18","will",255,0.00421892061811323
"19","has",250,0.00413619668442474
"20","about",248,0.00410310711094934
"21","his",248,0.00410310711094934
"22","its",244,0.00403692796399854
"23","out",232,0.00383839052314616
"24","just",227,0.00375566658945766
"25","when",223,0.00368948744250687
"26","can",210,0.00347440521491678
"27","who",210,0.00347440521491678
"28","had",209,0.00345786042817908
"29","like",207,0.00342477085470368
"30","what",205,0.00339168128122829
"31","more",204,0.00337513649449059
"32","she",201,0.00332550213427749
"33","your",196,0.00324277820058899
"34","our",189,0.0031269646934251
"35","her",183,0.00302769597299891
"36","their",183,0.00302769597299891
"37","were",181,0.00299460639952351
"38","time",179,0.00296151682604811
"39","there",176,0.00291188246583502
"40","some",171,0.00282915853214652
"41","would",165,0.00272988981172033
"42","which",163,0.00269680023824493
"43","been",162,0.00268025545150723
"44","people",161,0.00266371066476953
"45","how",160,0.00264716587803183
"46","also",156,0.00258098673108104
"47","them",150,0.00248171801065484
"48","into",145,0.00239899407696635
"49","new",144,0.00238244929022865
"50","know",142,0.00234935971675325
"51","then",142,0.00234935971675325
"52","get",141,0.00233281493001555
"53","day",137,0.00226663578306476
"54","than",137,0.00226663578306476
"55","back",136,0.00225009099632706
"56","now",135,0.00223354620958936
"57","after",124,0.00205155355547467
"58","good",124,0.00205155355547467
"59","other",118,0.00195228483504848
"60","year",117,0.00193574004831078
"61","over",115,0.00190265047483538
"62","first",113,0.00186956090135998
"63","much",113,0.00186956090135998
"64","last",110,0.00181992654114688
"65","see",110,0.00181992654114688
"66","could",104,0.00172065782072069
"67","did",104,0.00172065782072069
"68","him",103,0.00170411303398299
"69","years",103,0.00170411303398299
"70","only",102,0.00168756824724529
"71","two",101,0.00167102346050759
"72","any",100,0.0016544786737699
"73","way",100,0.0016544786737699
"74","because",97,0.0016048443135568
"75","too",97,0.0016048443135568
"76","well",97,0.0016048443135568
"77","great",94,0.0015552099533437
"78","love",94,0.0015552099533437
"79","think",94,0.0015552099533437
"80","going",93,0.001538665166606
"81","really",93,0.001538665166606
"82","before",92,0.0015221203798683
"83","make",92,0.0015221203798683
"84","still",92,0.0015221203798683
"85","where",91,0.0015055755931306
"86","made",90,0.00148903080639291
"87","very",90,0.00148903080639291
"88","dont",88,0.00145594123291751
"89","many",82,0.00135667251249131
"90","these",82,0.00135667251249131
"91","even",81,0.00134012772575361
"92","here",80,0.00132358293901592
"93","home",80,0.00132358293901592
"94","work",80,0.00132358293901592
"95","most",79,0.00130703815227822
"96","today",79,0.00130703815227822
"97","being",78,0.00129049336554052
"98","life",78,0.00129049336554052
"99","down",76,0.00125740379206512
"100","got",76,0.00125740379206512
"101","should",76,0.00125740379206512
"102","through",76,0.00125740379206512
"103","come",75,0.00124085900532742
"104","little",74,0.00122431421858972
"105","off",74,0.00122431421858972
"106","right",74,0.00122431421858972
"107","while",74,0.00122431421858972
"108","may",73,0.00120776943185202
"109","things",73,0.00120776943185202
"110","want",73,0.00120776943185202
"111","week",72,0.00119122464511432
"112","few",66,0.00109195592468813
"113","say",66,0.00109195592468813
"114","why",66,0.00109195592468813
"115","state",65,0.00107541113795043
"116","such",64,0.00105886635121273
"117","every",63,0.00104232156447503
"118","feel",63,0.00104232156447503
"119","those",63,0.00104232156447503
"120","best",62,0.00102577677773733
"121","around",60,0.000992687204261937
"122","take",60,0.000992687204261937
"123","big",59,0.000976142417524238
"124","something",58,0.000959597630786539
"125","city",57,0.00094305284404884
"126","world",57,0.00094305284404884
"127","cant",56,0.000926508057311141
"128","school",56,0.000926508057311141
"129","game",55,0.000909963270573442
"130","long",55,0.000909963270573442
"131","need",55,0.000909963270573442
