"","Terms","Count","Probability"
"1","of the",399,0.0116096368715084
"2","in the",390,0.0113477653631285
"3","to the",196,0.00570297951582868
"4","on the",182,0.00529562383612663
"5","for the",149,0.00433542830540037
"6","to be",141,0.00410265363128492
"7","at the",126,0.00366620111731844
"8","and the",125,0.003637104283054
"9","in a",113,0.00328794227188082
"10","is a",96,0.00279329608938547
"11","with a",92,0.00267690875232775
"12","it was",89,0.00258961824953445
"13","from the",86,0.00250232774674115
"14","with the",84,0.00244413407821229
"15","of a",81,0.00235684357541899
"16","i have",79,0.00229864990689013
"17","and i",74,0.00215316573556797
"18","for a",74,0.00215316573556797
"19","i was",73,0.00212406890130354
"20","one of",72,0.00209497206703911
"21","it is",70,0.00203677839851024
"22","have a",66,0.00192039106145251
"23","will be",66,0.00192039106145251
"24","i am",65,0.00189129422718808
"25","if you",64,0.00186219739292365
"26","as a",63,0.00183310055865922
"27","this is",61,0.00177490689013035
"28","is the",60,0.00174581005586592
"29","going to",59,0.00171671322160149
"30","the first",56,0.00162942271880819
"31","have to",55,0.00160032588454376
"32","it s",55,0.00160032588454376
"33","on a",55,0.00160032588454376
"34","and a",54,0.00157122905027933
"35","but i",54,0.00157122905027933
"36","have been",54,0.00157122905027933
"37","that the",52,0.00151303538175047
"38","to a",52,0.00151303538175047
"39","by the",51,0.00148393854748603
"40","i m",51,0.00148393854748603
"41","out of",51,0.00148393854748603
"42","to do",50,0.0014548417132216
"43","want to",49,0.00142574487895717
"44","was the",49,0.00142574487895717
"45","a few",48,0.00139664804469274
"46","a lot",48,0.00139664804469274
"47","more than",47,0.00136755121042831
"48","to get",47,0.00136755121042831
"49","of my",46,0.00133845437616387
"50","that i",46,0.00133845437616387
"51","i think",45,0.00130935754189944
"52","you can",45,0.00130935754189944
"53","he said",44,0.00128026070763501
"54","to see",43,0.00125116387337058
"55","into the",42,0.00122206703910615
"56","to have",42,0.00122206703910615
"57","has been",41,0.00119297020484171
"58","i had",41,0.00119297020484171
"59","a little",40,0.00116387337057728
"60","all the",40,0.00116387337057728
"61","was a",40,0.00116387337057728
"62","about the",39,0.00113477653631285
"63","be a",39,0.00113477653631285
"64","said the",38,0.00110567970204842
"65","as the",37,0.00107658286778399
"66","he was",37,0.00107658286778399
"67","i know",36,0.00104748603351955
"68","to go",36,0.00104748603351955
"69","when i",36,0.00104748603351955
"70","but the",35,0.00101838919925512
"71","don t",35,0.00101838919925512
"72","they are",35,0.00101838919925512
"73","would be",35,0.00101838919925512
"74","you have",35,0.00101838919925512
"75","back to",34,0.000989292364990689
"76","lot of",34,0.000989292364990689
"77","and then",33,0.000960195530726257
"78","the new",33,0.000960195530726257
"79","there is",33,0.000960195530726257
"80","we are",33,0.000960195530726257
"81","i just",32,0.000931098696461825
"82","is not",32,0.000931098696461825
"83","so i",32,0.000931098696461825
"84","the best",32,0.000931098696461825
"85","there are",32,0.000931098696461825
"86","of our",31,0.000902001862197393
"87","to make",31,0.000902001862197393
"88","you are",31,0.000902001862197393
"89","and it",30,0.000872905027932961
"90","the most",30,0.000872905027932961
"91","the same",30,0.000872905027932961
"92","a great",29,0.000843808193668529
"93","able to",29,0.000843808193668529
"94","as well",29,0.000843808193668529
"95","the world",29,0.000843808193668529
"96","according to",28,0.000814711359404097
"97","at least",28,0.000814711359404097
"98","i dont",28,0.000814711359404097
"99","that was",28,0.000814711359404097
"100","trying to",28,0.000814711359404097
"101","up to",28,0.000814711359404097
"102","at a",27,0.000785614525139665
"103","but it",27,0.000785614525139665
"104","did not",27,0.000785614525139665
"105","had a",27,0.000785614525139665
"106","he is",27,0.000785614525139665
"107","in my",27,0.000785614525139665
"108","last year",27,0.000785614525139665
"109","of this",27,0.000785614525139665
"110","the city",27,0.000785614525139665
"111","he has",26,0.000756517690875233
"112","i can",26,0.000756517690875233
"113","i love",26,0.000756517690875233
"114","need to",26,0.000756517690875233
"115","so much",26,0.000756517690875233
"116","that he",26,0.000756517690875233
"117","the other",26,0.000756517690875233
"118","and that",25,0.000727420856610801
"119","had to",25,0.000727420856610801
"120","i thought",25,0.000727420856610801
"121","the state",25,0.000727420856610801
"122","to take",25,0.000727420856610801
"123","way to",25,0.000727420856610801
"124","has a",24,0.000698324022346369
"125","like a",24,0.000698324022346369
"126","new york",24,0.000698324022346369
"127","part of",24,0.000698324022346369
"128","the last",24,0.000698324022346369
"129","time to",24,0.000698324022346369
"130","a good",23,0.000669227188081937
"131","as i",23,0.000669227188081937
"132","i could",23,0.000669227188081937
"133","i will",23,0.000669227188081937
"134","i would",23,0.000669227188081937
"135","if i",23,0.000669227188081937
"136","in this",23,0.000669227188081937
"137","thanks for",23,0.000669227188081937
"138","the way",23,0.000669227188081937
"139","when the",23,0.000669227188081937
"140","a year",22,0.000640130353817505
"141","all of",22,0.000640130353817505
"142","end of",22,0.000640130353817505
"143","how to",22,0.000640130353817505
"144","of an",22,0.000640130353817505
"145","on my",22,0.000640130353817505
"146","that you",22,0.000640130353817505
"147","the end",22,0.000640130353817505
"148","this week",22,0.000640130353817505
"149","to me",22,0.000640130353817505
"150","up the",22,0.000640130353817505
"151","which is",22,0.000640130353817505
"152","a bit",21,0.000611033519553073
"153","after the",21,0.000611033519553073
"154","and they",21,0.000611033519553073
"155","by a",21,0.000611033519553073
"156","do not",21,0.000611033519553073
"157","during the",21,0.000611033519553073
"158","from a",21,0.000611033519553073
"159","into a",21,0.000611033519553073
"160","is that",21,0.000611033519553073
"161","it to",21,0.000611033519553073
"162","over the",21,0.000611033519553073
"163","the us",21,0.000611033519553073
"164","to come",21,0.000611033519553073
"165","well as",21,0.000611033519553073
"166","and we",20,0.000581936685288641
"167","because of",20,0.000581936685288641
"168","do you",20,0.000581936685288641
"169","i cant",20,0.000581936685288641
"170","in his",20,0.000581936685288641
"171","its a",20,0.000581936685288641
"172","like to",20,0.000581936685288641
"173","people who",20,0.000581936685288641
"174","should be",20,0.000581936685288641
"175","such as",20,0.000581936685288641
"176","to say",20,0.000581936685288641
"177","we have",20,0.000581936685288641
"178","a small",19,0.000552839851024209
"179","and other",19,0.000552839851024209
"180","and was",19,0.000552839851024209
"181","are the",19,0.000552839851024209
"182","around the",19,0.000552839851024209
"183","at all",19,0.000552839851024209
"184","can be",19,0.000552839851024209
"185","didn t",19,0.000552839851024209
"186","for this",19,0.000552839851024209
"187","i ve",19,0.000552839851024209
"188","it a",19,0.000552839851024209
"189","like the",19,0.000552839851024209
"190","of them",19,0.000552839851024209
"191","so many",19,0.000552839851024209
"192","that it",19,0.000552839851024209
"193","that s",19,0.000552839851024209
"194","the second",19,0.000552839851024209
"195","this year",19,0.000552839851024209
"196","to keep",19,0.000552839851024209
"197","what the",19,0.000552839851024209
"198","you know",19,0.000552839851024209
"199","a new",18,0.000523743016759777
"200","be the",18,0.000523743016759777
"201","i do",18,0.000523743016759777
"202","it would",18,0.000523743016759777
"203","kind of",18,0.000523743016759777
"204","right now",18,0.000523743016759777
"205","said he",18,0.000523743016759777
"206","some of",18,0.000523743016759777
"207","that is",18,0.000523743016759777
"208","the day",18,0.000523743016759777
"209","the only",18,0.000523743016759777
"210","they have",18,0.000523743016759777
"211","they were",18,0.000523743016759777
"212","through the",18,0.000523743016759777
"213","to help",18,0.000523743016759777
"214","with my",18,0.000523743016759777
"215","and to",17,0.000494646182495345
"216","cant wait",17,0.000494646182495345
"217","go to",17,0.000494646182495345
"218","i did",17,0.000494646182495345
"219","i got",17,0.000494646182495345
"220","in their",17,0.000494646182495345
"221","is an",17,0.000494646182495345
"222","me i",17,0.000494646182495345
"223","of his",17,0.000494646182495345
"224","so we",17,0.000494646182495345
"225","thank you",17,0.000494646182495345
"226","the next",17,0.000494646182495345
"227","the past",17,0.000494646182495345
"228","the time",17,0.000494646182495345
"229","to find",17,0.000494646182495345
"230","try to",17,0.000494646182495345
"231","when you",17,0.000494646182495345
"232","a long",16,0.000465549348230912
"233","about a",16,0.000465549348230912
"234","high school",16,0.000465549348230912
"235","i feel",16,0.000465549348230912
"236","is going",16,0.000465549348230912
"237","is one",16,0.000465549348230912
"238","is still",16,0.000465549348230912
"239","is to",16,0.000465549348230912
"240","it will",16,0.000465549348230912
"241","make a",16,0.000465549348230912
"242","me to",16,0.000465549348230912
"243","not a",16,0.000465549348230912
"244","of what",16,0.000465549348230912
"245","out the",16,0.000465549348230912
"246","she said",16,0.000465549348230912
"247","so that",16,0.000465549348230912
"248","that they",16,0.000465549348230912
"249","the book",16,0.000465549348230912
"250","up with",16,0.000465549348230912
"251","used to",16,0.000465549348230912
"252","was not",16,0.000465549348230912
"253","we were",16,0.000465549348230912
"254","years ago",16,0.000465549348230912
"255","a big",15,0.00043645251396648
"256","and he",15,0.00043645251396648
"257","and his",15,0.00043645251396648
"258","and you",15,0.00043645251396648
"259","as they",15,0.00043645251396648
"260","because i",15,0.00043645251396648
"261","couple of",15,0.00043645251396648
"262","down the",15,0.00043645251396648
"263","due to",15,0.00043645251396648
"264","i really",15,0.00043645251396648
"265","if the",15,0.00043645251396648
"266","just a",15,0.00043645251396648
"267","last week",15,0.00043645251396648
"268","most of",15,0.00043645251396648
"269","my life",15,0.00043645251396648
"270","of it",15,0.00043645251396648
"271","s a",15,0.00043645251396648
"272","she was",15,0.00043645251396648
"273","such a",15,0.00043645251396648
"274","the whole",15,0.00043645251396648
"275","then i",15,0.00043645251396648
"276","wanted to",15,0.00043645251396648
"277","a couple",14,0.000407355679702048
"278","along with",14,0.000407355679702048
"279","are a",14,0.000407355679702048
"280","are you",14,0.000407355679702048
"281","before the",14,0.000407355679702048
"282","dont know",14,0.000407355679702048
"283","feel like",14,0.000407355679702048
"284","for an",14,0.000407355679702048
